seqnames1	start1	end1	seqnames2	start2	end2	name	selected_anch1	selected_anch2	loop_class	celltype
chr3	118809500	118810500	chr3	119322500	119323500	chr3_118810000_119323000	enhancer	promoter	E-P	GM12878
chr3	118809500	118810500	chr3	119293500	119294500	chr3_118810000_119294000	enhancer	promoter	E-P	GM12878
chr3	118809500	118810500	chr3	119239500	119240500	chr3_118810000_119240000	enhancer	NA	E/P-other	GM12878
chr3	119240500	119241500	chr3	119579500	119580500	chr3_119241000_119580000	promoter	promoter	P-P	GM12878
chr3	119240500	119241500	chr3	119598500	119599500	chr3_119241000_119599000	promoter	enhancer	E-P	GM12878
chr3	119240500	119241500	chr3	119637500	119638500	chr3_119241000_119638000	promoter	enhancer	E-P	GM12878
chr3	119240500	119241500	chr3	119293500	119294500	chr3_119241000_119294000	promoter	promoter	P-P	GM12878
chr3	119240500	119241500	chr3	119351500	119352500	chr3_119241000_119352000	promoter	enhancer	E-P	GM12878
chr3	119240500	119241500	chr3	119395500	119396500	chr3_119241000_119396000	promoter	enhancer	E-P	GM12878
chr3	119241500	119242500	chr3	119256500	119257500	chr3_119242000_119257000	enhancer	NA	E/P-other	GM12878
chr3	119293500	119294500	chr3	120348500	120349500	chr3_119294000_120349000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	120595500	120596500	chr3_119294000_120596000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	119579500	119580500	chr3_119294000_119580000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	119597500	119598500	chr3_119294000_119598000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	119638500	119639500	chr3_119294000_119639000	promoter	enhancer	E-P	GM12878
chr3	119293500	119294500	chr3	119698500	119699500	chr3_119294000_119699000	promoter	NA	E/P-other	GM12878
chr3	119293500	119294500	chr3	119541500	119542500	chr3_119294000_119542000	promoter	NA	E/P-other	GM12878
chr3	119293500	119294500	chr3	120785500	120786500	chr3_119294000_120786000	promoter	NA	E/P-other	GM12878
chr3	119293500	119294500	chr3	119627500	119628500	chr3_119294000_119628000	promoter	enhancer	E-P	GM12878
chr3	119293500	119294500	chr3	119563500	119564500	chr3_119294000_119564000	promoter	NA	E/P-other	GM12878
chr3	119293500	119294500	chr3	120094500	120095500	chr3_119294000_120095000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	119351500	119352500	chr3_119294000_119352000	promoter	enhancer	E-P	GM12878
chr3	119293500	119294500	chr3	119395500	119396500	chr3_119294000_119396000	promoter	enhancer	E-P	GM12878
chr3	119293500	119294500	chr3	119400500	119401500	chr3_119294000_119401000	promoter	NA	E/P-other	GM12878
chr3	119293500	119294500	chr3	119463500	119464500	chr3_119294000_119464000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	119497500	119498500	chr3_119294000_119498000	promoter	promoter	P-P	GM12878
chr3	119293500	119294500	chr3	119677500	119678500	chr3_119294000_119678000	promoter	promoter	P-P	GM12878
chr3	119294500	119295500	chr3	119321500	119322500	chr3_119295000_119322000	promoter	promoter	P-P	GM12878
chr3	119321500	119322500	chr3	119677500	119678500	chr3_119322000_119678000	promoter	promoter	P-P	GM12878
chr3	119321500	119322500	chr3	120764500	120765500	chr3_119322000_120765000	promoter	NA	E/P-other	GM12878
chr3	119321500	119322500	chr3	119562500	119563500	chr3_119322000_119563000	promoter	enhancer	E-P	GM12878
chr3	119322500	119323500	chr3	119579500	119580500	chr3_119323000_119580000	promoter	promoter	P-P	GM12878
chr3	119322500	119323500	chr3	119627500	119628500	chr3_119323000_119628000	promoter	enhancer	E-P	GM12878
chr3	119322500	119323500	chr3	119598500	119599500	chr3_119323000_119599000	promoter	enhancer	E-P	GM12878
chr3	119322500	119323500	chr3	119497500	119498500	chr3_119323000_119498000	promoter	promoter	P-P	GM12878
chr3	119322500	119323500	chr3	119698500	119699500	chr3_119323000_119699000	promoter	NA	E/P-other	GM12878
chr3	119322500	119323500	chr3	119637500	119638500	chr3_119323000_119638000	promoter	enhancer	E-P	GM12878
chr3	119322500	119323500	chr3	119399500	119400500	chr3_119323000_119400000	promoter	NA	E/P-other	GM12878
chr3	119322500	119323500	chr3	119395500	119396500	chr3_119323000_119396000	promoter	enhancer	E-P	GM12878
chr3	119322500	119323500	chr3	119351500	119352500	chr3_119323000_119352000	promoter	enhancer	E-P	GM12878
chr3	119322500	119323500	chr3	119463500	119464500	chr3_119323000_119464000	promoter	promoter	P-P	GM12878
chr3	119322500	119323500	chr3	120094500	120095500	chr3_119323000_120095000	promoter	promoter	P-P	GM12878
chr3	119323500	119324500	chr3	120348500	120349500	chr3_119324000_120349000	enhancer	promoter	E-P	GM12878
chr3	119323500	119324500	chr3	119937500	119938500	chr3_119324000_119938000	enhancer	enhancer	E-E	GM12878
chr3	119351500	119352500	chr3	119462500	119463500	chr3_119352000_119463000	enhancer	enhancer	E-E	GM12878
chr3	119351500	119352500	chr3	119679500	119680500	chr3_119352000_119680000	enhancer	NA	E/P-other	GM12878
chr3	119352500	119353500	chr3	119394500	119395500	chr3_119353000_119395000	enhancer	NA	E/P-other	GM12878
chr3	119352500	119353500	chr3	119600500	119601500	chr3_119353000_119601000	enhancer	enhancer	E-E	GM12878
chr3	119395500	119396500	chr3	120094500	120095500	chr3_119396000_120095000	enhancer	promoter	E-P	GM12878
chr3	119395500	119396500	chr3	119597500	119598500	chr3_119396000_119598000	enhancer	promoter	E-P	GM12878
chr3	119395500	119396500	chr3	119579500	119580500	chr3_119396000_119580000	enhancer	promoter	E-P	GM12878
chr3	119395500	119396500	chr3	119462500	119463500	chr3_119396000_119463000	enhancer	enhancer	E-E	GM12878
chr3	119395500	119396500	chr3	119677500	119678500	chr3_119396000_119678000	enhancer	promoter	E-P	GM12878
chr3	119462500	119463500	chr3	120348500	120349500	chr3_119463000_120349000	enhancer	promoter	E-P	GM12878
chr3	119462500	119463500	chr3	120093500	120094500	chr3_119463000_120094000	enhancer	promoter	E-P	GM12878
chr3	119463500	119464500	chr3	120783500	120784500	chr3_119464000_120784000	promoter	NA	E/P-other	GM12878
chr3	119463500	119464500	chr3	119497500	119498500	chr3_119464000_119498000	promoter	promoter	P-P	GM12878
chr3	119463500	119464500	chr3	119676500	119677500	chr3_119464000_119677000	promoter	promoter	P-P	GM12878
chr3	119463500	119464500	chr3	119558500	119559500	chr3_119464000_119559000	promoter	NA	E/P-other	GM12878
chr3	119463500	119464500	chr3	119698500	119699500	chr3_119464000_119699000	promoter	NA	E/P-other	GM12878
chr3	119498500	119499500	chr3	119549500	119550500	chr3_119499000_119550000	promoter	NA	E/P-other	GM12878
chr3	119498500	119499500	chr3	119558500	119559500	chr3_119499000_119559000	promoter	NA	E/P-other	GM12878
chr3	119498500	119499500	chr3	119579500	119580500	chr3_119499000_119580000	promoter	promoter	P-P	GM12878
chr3	119498500	119499500	chr3	119699500	119700500	chr3_119499000_119700000	promoter	NA	E/P-other	GM12878
chr3	119498500	119499500	chr3	119597500	119598500	chr3_119499000_119598000	promoter	promoter	P-P	GM12878
chr3	119498500	119499500	chr3	119538500	119539500	chr3_119499000_119539000	promoter	NA	E/P-other	GM12878
chr3	119559500	119560500	chr3	119676500	119677500	chr3_119560000_119677000	promoter	promoter	P-P	GM12878
chr3	119561500	119562500	chr3	120093500	120094500	chr3_119562000_120094000	enhancer	promoter	E-P	GM12878
chr3	119562500	119563500	chr3	119597500	119598500	chr3_119563000_119598000	enhancer	promoter	E-P	GM12878
chr3	119562500	119563500	chr3	120348500	120349500	chr3_119563000_120349000	enhancer	promoter	E-P	GM12878
chr3	119562500	119563500	chr3	119627500	119628500	chr3_119563000_119628000	enhancer	enhancer	E-E	GM12878
chr3	119562500	119563500	chr3	119637500	119638500	chr3_119563000_119638000	enhancer	enhancer	E-E	GM12878
chr3	119579500	119580500	chr3	119637500	119638500	chr3_119580000_119638000	promoter	enhancer	E-P	GM12878
chr3	119579500	119580500	chr3	120093500	120094500	chr3_119580000_120094000	promoter	promoter	P-P	GM12878
chr3	119579500	119580500	chr3	119676500	119677500	chr3_119580000_119677000	promoter	promoter	P-P	GM12878
chr3	119579500	119580500	chr3	119698500	119699500	chr3_119580000_119699000	promoter	NA	E/P-other	GM12878
chr3	119579500	119580500	chr3	119597500	119598500	chr3_119580000_119598000	promoter	promoter	P-P	GM12878
chr3	119579500	119580500	chr3	119627500	119628500	chr3_119580000_119628000	promoter	enhancer	E-P	GM12878
chr3	119579500	119580500	chr3	120348500	120349500	chr3_119580000_120349000	promoter	promoter	P-P	GM12878
chr3	119598500	119599500	chr3	120595500	120596500	chr3_119599000_120596000	enhancer	promoter	E-P	GM12878
chr3	119598500	119599500	chr3	119637500	119638500	chr3_119599000_119638000	enhancer	enhancer	E-E	GM12878
chr3	119598500	119599500	chr3	120100500	120101500	chr3_119599000_120101000	enhancer	NA	E/P-other	GM12878
chr3	119598500	119599500	chr3	120348500	120349500	chr3_119599000_120349000	enhancer	promoter	E-P	GM12878
chr3	119598500	119599500	chr3	119697500	119698500	chr3_119599000_119698000	enhancer	enhancer	E-E	GM12878
chr3	119598500	119599500	chr3	120093500	120094500	chr3_119599000_120094000	enhancer	promoter	E-P	GM12878
chr3	119599500	119600500	chr3	119627500	119628500	chr3_119600000_119628000	promoter	enhancer	E-P	GM12878
chr3	119599500	119600500	chr3	119676500	119677500	chr3_119600000_119677000	promoter	promoter	P-P	GM12878
chr3	119599500	119600500	chr3	119733500	119734500	chr3_119600000_119734000	promoter	NA	E/P-other	GM12878
chr3	119600500	119601500	chr3	119809500	119810500	chr3_119601000_119810000	enhancer	enhancer	E-E	GM12878
chr3	119600500	119601500	chr3	119663500	119664500	chr3_119601000_119664000	enhancer	NA	E/P-other	GM12878
chr3	119627500	119628500	chr3	120094500	120095500	chr3_119628000_120095000	enhancer	promoter	E-P	GM12878
chr3	119627500	119628500	chr3	119676500	119677500	chr3_119628000_119677000	enhancer	promoter	E-P	GM12878
chr3	119627500	119628500	chr3	119663500	119664500	chr3_119628000_119664000	enhancer	NA	E/P-other	GM12878
chr3	119628500	119629500	chr3	119636500	119637500	chr3_119629000_119637000	enhancer	NA	E/P-other	GM12878
chr3	119637500	119638500	chr3	119698500	119699500	chr3_119638000_119699000	enhancer	NA	E/P-other	GM12878
chr3	119637500	119638500	chr3	119733500	119734500	chr3_119638000_119734000	enhancer	NA	E/P-other	GM12878
chr3	119637500	119638500	chr3	121431500	121432500	chr3_119638000_121432000	enhancer	NA	E/P-other	GM12878
chr3	119637500	119638500	chr3	120596500	120597500	chr3_119638000_120597000	enhancer	promoter	E-P	GM12878
chr3	119637500	119638500	chr3	119936500	119937500	chr3_119638000_119937000	enhancer	enhancer	E-E	GM12878
chr3	119638500	119639500	chr3	120348500	120349500	chr3_119639000_120349000	enhancer	promoter	E-P	GM12878
chr3	119638500	119639500	chr3	119676500	119677500	chr3_119639000_119677000	enhancer	promoter	E-P	GM12878
chr3	119638500	119639500	chr3	120094500	120095500	chr3_119639000_120095000	enhancer	promoter	E-P	GM12878
chr3	119639500	119640500	chr3	119662500	119663500	chr3_119640000_119663000	enhancer	enhancer	E-E	GM12878
chr3	119662500	119663500	chr3	119698500	119699500	chr3_119663000_119699000	enhancer	NA	E/P-other	GM12878
chr3	119676500	119677500	chr3	120093500	120094500	chr3_119677000_120094000	promoter	promoter	P-P	GM12878
chr3	119676500	119677500	chr3	120347500	120348500	chr3_119677000_120348000	promoter	enhancer	E-P	GM12878
chr3	119697500	119698500	chr3	120596500	120597500	chr3_119698000_120597000	enhancer	promoter	E-P	GM12878
chr3	119700500	119701500	chr3	119732500	119733500	chr3_119701000_119733000	enhancer	NA	E/P-other	GM12878
chr3	119700500	119701500	chr3	120780500	120781500	chr3_119701000_120781000	enhancer	enhancer	E-E	GM12878
chr3	119700500	119701500	chr3	120762500	120763500	chr3_119701000_120763000	enhancer	NA	E/P-other	GM12878
chr3	119700500	119701500	chr3	120146500	120147500	chr3_119701000_120147000	enhancer	NA	E/P-other	GM12878
chr3	119700500	119701500	chr3	120056500	120057500	chr3_119701000_120057000	enhancer	NA	E/P-other	GM12878
chr3	119700500	119701500	chr3	120038500	120039500	chr3_119701000_120039000	enhancer	NA	E/P-other	GM12878
chr3	119700500	119701500	chr3	119937500	119938500	chr3_119701000_119938000	enhancer	enhancer	E-E	GM12878
chr3	119700500	119701500	chr3	120741500	120742500	chr3_119701000_120742000	enhancer	promoter	E-P	GM12878
chr3	119700500	119701500	chr3	120348500	120349500	chr3_119701000_120349000	enhancer	promoter	E-P	GM12878
chr3	119700500	119701500	chr3	120094500	120095500	chr3_119701000_120095000	enhancer	promoter	E-P	GM12878
chr3	119809500	119810500	chr3	120558500	120559500	chr3_119810000_120559000	enhancer	CTCF	E/P-other	GM12878
chr3	119809500	119810500	chr3	120348500	120349500	chr3_119810000_120349000	enhancer	promoter	E-P	GM12878
chr3	119809500	119810500	chr3	120094500	120095500	chr3_119810000_120095000	enhancer	promoter	E-P	GM12878
chr3	119809500	119810500	chr3	120596500	120597500	chr3_119810000_120597000	enhancer	promoter	E-P	GM12878
chr3	119809500	119810500	chr3	120146500	120147500	chr3_119810000_120147000	enhancer	NA	E/P-other	GM12878
chr3	119936500	119937500	chr3	120784500	120785500	chr3_119937000_120785000	enhancer	NA	E/P-other	GM12878
chr3	119936500	119937500	chr3	120051500	120052500	chr3_119937000_120052000	enhancer	NA	E/P-other	GM12878
chr3	119937500	119938500	chr3	120347500	120348500	chr3_119938000_120348000	enhancer	enhancer	E-E	GM12878
chr3	119937500	119938500	chr3	120595500	120596500	chr3_119938000_120596000	enhancer	promoter	E-P	GM12878
chr3	119937500	119938500	chr3	120093500	120094500	chr3_119938000_120094000	enhancer	promoter	E-P	GM12878
chr3	120094500	120095500	chr3	120781500	120782500	chr3_120095000_120782000	promoter	NA	E/P-other	GM12878
chr3	120094500	120095500	chr3	120764500	120765500	chr3_120095000_120765000	promoter	NA	E/P-other	GM12878
chr3	120094500	120095500	chr3	120741500	120742500	chr3_120095000_120742000	promoter	promoter	P-P	GM12878
chr3	120094500	120095500	chr3	120687500	120688500	chr3_120095000_120688000	promoter	NA	E/P-other	GM12878
chr3	120094500	120095500	chr3	120558500	120559500	chr3_120095000_120559000	promoter	CTCF	E/P-other	GM12878
chr3	120094500	120095500	chr3	120416500	120417500	chr3_120095000_120417000	promoter	CTCF	E/P-other	GM12878
chr3	120094500	120095500	chr3	120348500	120349500	chr3_120095000_120349000	promoter	promoter	P-P	GM12878
chr3	120094500	120095500	chr3	120146500	120147500	chr3_120095000_120147000	promoter	NA	E/P-other	GM12878
chr3	120095500	120096500	chr3	120181500	120182500	chr3_120096000_120182000	promoter	NA	E/P-other	GM12878
chr3	120348500	120349500	chr3	120595500	120596500	chr3_120349000_120596000	promoter	promoter	P-P	GM12878
chr3	120348500	120349500	chr3	120416500	120417500	chr3_120349000_120417000	promoter	CTCF	E/P-other	GM12878
chr3	120348500	120349500	chr3	120558500	120559500	chr3_120349000_120559000	promoter	CTCF	E/P-other	GM12878
chr3	120348500	120349500	chr3	120763500	120764500	chr3_120349000_120764000	promoter	enhancer	E-P	GM12878
chr3	120348500	120349500	chr3	120785500	120786500	chr3_120349000_120786000	promoter	NA	E/P-other	GM12878
chr3	120348500	120349500	chr3	120687500	120688500	chr3_120349000_120688000	promoter	NA	E/P-other	GM12878
chr3	120596500	120597500	chr3	120762500	120763500	chr3_120597000_120763000	promoter	NA	E/P-other	GM12878
chr3	120596500	120597500	chr3	120677500	120678500	chr3_120597000_120678000	promoter	enhancer	E-P	GM12878
chr3	120596500	120597500	chr3	121442500	121443500	chr3_120597000_121443000	promoter	NA	E/P-other	GM12878
chr3	120596500	120597500	chr3	121432500	121433500	chr3_120597000_121433000	promoter	NA	E/P-other	GM12878
chr3	120678500	120679500	chr3	120734500	120735500	chr3_120679000_120735000	enhancer	NA	E/P-other	GM12878
chr3	120741500	120742500	chr3	120784500	120785500	chr3_120742000_120785000	promoter	NA	E/P-other	GM12878
chr3	120742500	120743500	chr3	120760500	120761500	chr3_120743000_120761000	promoter	NA	E/P-other	GM12878
chr3	120763500	120764500	chr3	120784500	120785500	chr3_120764000_120785000	enhancer	NA	E/P-other	GM12878
chr4	182018500	182019500	chr4	183504500	183505500	chr4_182019000_183505000	enhancer	promoter	E-P	GM12878
chr4	182808500	182809500	chr4	182917500	182918500	chr4_182809000_182918000	enhancer	promoter	E-P	GM12878
chr4	182808500	182809500	chr4	183261500	183262500	chr4_182809000_183262000	enhancer	CTCF	E/P-other	GM12878
chr4	182808500	182809500	chr4	182830500	182831500	chr4_182809000_182831000	enhancer	NA	E/P-other	GM12878
chr4	182808500	182809500	chr4	183504500	183505500	chr4_182809000_183505000	enhancer	promoter	E-P	GM12878
chr4	182916500	182917500	chr4	183397500	183398500	chr4_182917000_183398000	promoter	NA	E/P-other	GM12878
chr4	182916500	182917500	chr4	183721500	183722500	chr4_182917000_183722000	promoter	NA	E/P-other	GM12878
chr4	182916500	182917500	chr4	183406500	183407500	chr4_182917000_183407000	promoter	CTCF	E/P-other	GM12878
chr4	182916500	182917500	chr4	183504500	183505500	chr4_182917000_183505000	promoter	promoter	P-P	GM12878
chr4	182916500	182917500	chr4	183443500	183444500	chr4_182917000_183444000	promoter	promoter	P-P	GM12878
chr4	182916500	182917500	chr4	183658500	183659500	chr4_182917000_183659000	promoter	promoter	P-P	GM12878
chr4	182917500	182918500	chr4	182976500	182977500	chr4_182918000_182977000	promoter	NA	E/P-other	GM12878
chr4	182917500	182918500	chr4	182936500	182937500	chr4_182918000_182937000	promoter	NA	E/P-other	GM12878
chr4	182917500	182918500	chr4	183261500	183262500	chr4_182918000_183262000	promoter	CTCF	E/P-other	GM12878
chr4	182918500	182919500	chr4	183071500	183072500	chr4_182919000_183072000	enhancer	NA	E/P-other	GM12878
chr4	182975500	182976500	chr4	183503500	183504500	chr4_182976000_183504000	enhancer	promoter	E-P	GM12878
chr4	182977500	182978500	chr4	183658500	183659500	chr4_182978000_183659000	enhancer	promoter	E-P	GM12878
chr4	183443500	183444500	chr4	183504500	183505500	chr4_183444000_183505000	promoter	promoter	P-P	GM12878
chr4	183443500	183444500	chr4	183658500	183659500	chr4_183444000_183659000	promoter	promoter	P-P	GM12878
chr4	183443500	183444500	chr4	183721500	183722500	chr4_183444000_183722000	promoter	NA	E/P-other	GM12878
chr4	183504500	183505500	chr4	183658500	183659500	chr4_183505000_183659000	promoter	promoter	P-P	GM12878
chr4	183504500	183505500	chr4	183721500	183722500	chr4_183505000_183722000	promoter	NA	E/P-other	GM12878
chr4	183504500	183505500	chr4	183601500	183602500	chr4_183505000_183602000	promoter	NA	E/P-other	GM12878
chr4	183658500	183659500	chr4	183721500	183722500	chr4_183659000_183722000	promoter	NA	E/P-other	GM12878
chr6	29723500	29724500	chr6	30280500	30281500	chr6_29724000_30281000	promoter	NA	E/P-other	GM12878
chr6	29724500	29725500	chr6	31354500	31355500	chr6_29725000_31355000	enhancer	promoter	E-P	GM12878
chr6	29724500	29725500	chr6	29732500	29733500	chr6_29725000_29733000	enhancer	NA	E/P-other	GM12878
chr6	29752500	29753500	chr6	29833500	29834500	chr6_29753000_29834000	promoter	NA	E/P-other	GM12878
chr6	29752500	29753500	chr6	30906500	30907500	chr6_29753000_30907000	promoter	NA	E/P-other	GM12878
chr6	29886500	29887500	chr6	29940500	29941500	chr6_29887000_29941000	enhancer	NA	E/P-other	GM12878
chr6	29886500	29887500	chr6	30614500	30615500	chr6_29887000_30615000	enhancer	enhancer	E-E	GM12878
chr6	29886500	29887500	chr6	30065500	30066500	chr6_29887000_30066000	enhancer	NA	E/P-other	GM12878
chr6	29886500	29887500	chr6	30060500	30061500	chr6_29887000_30061000	enhancer	promoter	E-P	GM12878
chr6	29886500	29887500	chr6	29965500	29966500	chr6_29887000_29966000	enhancer	enhancer	E-E	GM12878
chr6	29887500	29888500	chr6	31355500	31356500	chr6_29888000_31356000	promoter	promoter	P-P	GM12878
chr6	29887500	29888500	chr6	30717500	30718500	chr6_29888000_30718000	promoter	promoter	P-P	GM12878
chr6	29887500	29888500	chr6	30556500	30557500	chr6_29888000_30557000	promoter	promoter	P-P	GM12878
chr6	29887500	29888500	chr6	30507500	30508500	chr6_29888000_30508000	promoter	enhancer	E-P	GM12878
chr6	29887500	29888500	chr6	30212500	30213500	chr6_29888000_30213000	promoter	promoter	P-P	GM12878
chr6	29926500	29927500	chr6	29940500	29941500	chr6_29927000_29941000	promoter	NA	E/P-other	GM12878
chr6	29926500	29927500	chr6	30614500	30615500	chr6_29927000_30615000	promoter	enhancer	E-P	GM12878
chr6	29942500	29943500	chr6	30694500	30695500	chr6_29943000_30695000	promoter	NA	E/P-other	GM12878
chr6	29943500	29944500	chr6	29952500	29953500	chr6_29944000_29953000	enhancer	NA	E/P-other	GM12878
chr6	29964500	29965500	chr6	30211500	30212500	chr6_29965000_30212000	enhancer	enhancer	E-E	GM12878
chr6	29964500	29965500	chr6	31202500	31203500	chr6_29965000_31203000	enhancer	enhancer	E-E	GM12878
chr6	29964500	29965500	chr6	31159500	31160500	chr6_29965000_31160000	enhancer	enhancer	E-E	GM12878
chr6	29964500	29965500	chr6	30910500	30911500	chr6_29965000_30911000	enhancer	NA	E/P-other	GM12878
chr6	29964500	29965500	chr6	30684500	30685500	chr6_29965000_30685000	enhancer	promoter	E-P	GM12878
chr6	29964500	29965500	chr6	30646500	30647500	chr6_29965000_30647000	enhancer	promoter	E-P	GM12878
chr6	29964500	29965500	chr6	30555500	30556500	chr6_29965000_30556000	enhancer	enhancer	E-E	GM12878
chr6	29964500	29965500	chr6	30506500	30507500	chr6_29965000_30507000	enhancer	NA	E/P-other	GM12878
chr6	29964500	29965500	chr6	30325500	30326500	chr6_29965000_30326000	enhancer	promoter	E-P	GM12878
chr6	29964500	29965500	chr6	31356500	31357500	chr6_29965000_31357000	enhancer	promoter	E-P	GM12878
chr6	29964500	29965500	chr6	30065500	30066500	chr6_29965000_30066000	enhancer	NA	E/P-other	GM12878
chr6	29965500	29966500	chr6	30006500	30007500	chr6_29966000_30007000	enhancer	NA	E/P-other	GM12878
chr6	29965500	29966500	chr6	30199500	30200500	chr6_29966000_30200000	enhancer	NA	E/P-other	GM12878
chr6	29965500	29966500	chr6	30345500	30346500	chr6_29966000_30346000	enhancer	enhancer	E-E	GM12878
chr6	29965500	29966500	chr6	30101500	30102500	chr6_29966000_30102000	enhancer	CTCF	E/P-other	GM12878
chr6	29965500	29966500	chr6	31401500	31402500	chr6_29966000_31402000	enhancer	NA	E/P-other	GM12878
chr6	29965500	29966500	chr6	30060500	30061500	chr6_29966000_30061000	enhancer	promoter	E-P	GM12878
chr6	29965500	29966500	chr6	30615500	30616500	chr6_29966000_30616000	enhancer	enhancer	E-E	GM12878
chr6	30060500	30061500	chr6	30344500	30345500	chr6_30061000_30345000	promoter	promoter	P-P	GM12878
chr6	30061500	30062500	chr6	30718500	30719500	chr6_30062000_30719000	promoter	enhancer	E-P	GM12878
chr6	30061500	30062500	chr6	30647500	30648500	chr6_30062000_30648000	promoter	enhancer	E-P	GM12878
chr6	30061500	30062500	chr6	31971500	31972500	chr6_30062000_31972000	promoter	promoter	P-P	GM12878
chr6	30200500	30201500	chr6	30211500	30212500	chr6_30201000_30212000	enhancer	enhancer	E-E	GM12878
chr6	30210500	30211500	chr6	31549500	31550500	chr6_30211000_31550000	enhancer	enhancer	E-E	GM12878
chr6	30211500	30212500	chr6	31575500	31576500	chr6_30212000_31576000	enhancer	promoter	E-P	GM12878
chr6	30211500	30212500	chr6	31617500	31618500	chr6_30212000_31618000	enhancer	NA	E/P-other	GM12878
chr6	30211500	30212500	chr6	30685500	30686500	chr6_30212000_30686000	enhancer	enhancer	E-E	GM12878
chr6	30211500	30212500	chr6	31701500	31702500	chr6_30212000_31702000	enhancer	enhancer	E-E	GM12878
chr6	30211500	30212500	chr6	31735500	31736500	chr6_30212000_31736000	enhancer	promoter	E-P	GM12878
chr6	30211500	30212500	chr6	31540500	31541500	chr6_30212000_31541000	enhancer	promoter	E-P	GM12878
chr6	30211500	30212500	chr6	31559500	31560500	chr6_30212000_31560000	enhancer	enhancer	E-E	GM12878
chr6	30211500	30212500	chr6	30766500	30767500	chr6_30212000_30767000	enhancer	enhancer	E-E	GM12878
chr6	30212500	30213500	chr6	31971500	31972500	chr6_30213000_31972000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	31897500	31898500	chr6_30213000_31898000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	31664500	31665500	chr6_30213000_31665000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	31652500	31653500	chr6_30213000_31653000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	32176500	32177500	chr6_30213000_32177000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	32195500	32196500	chr6_30213000_32196000	promoter	enhancer	E-P	GM12878
chr6	30212500	30213500	chr6	31203500	31204500	chr6_30213000_31204000	promoter	enhancer	E-P	GM12878
chr6	30212500	30213500	chr6	30906500	30907500	chr6_30213000_30907000	promoter	NA	E/P-other	GM12878
chr6	30212500	30213500	chr6	30811500	30812500	chr6_30213000_30812000	promoter	enhancer	E-P	GM12878
chr6	30212500	30213500	chr6	30784500	30785500	chr6_30213000_30785000	promoter	NA	E/P-other	GM12878
chr6	30212500	30213500	chr6	31592500	31593500	chr6_30213000_31593000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	32128500	32129500	chr6_30213000_32129000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	30626500	30627500	chr6_30213000_30627000	promoter	promoter	P-P	GM12878
chr6	30212500	30213500	chr6	32190500	32191500	chr6_30213000_32191000	promoter	enhancer	E-P	GM12878
